Muscle Blues,Persona 4,Persona,https://youtu.be/1z_OLTfWBZ8
Someone Else's Man,Persona 4,Persona,https://youtu.be/wXpMoYQip4Q
Sauna,Persona 4,Persona,https://youtu.be/B0uHhmSIjtY
Reach Out to the Truth,Persona 4,Persona,https://youtu.be/Vd_PuNxt5Jg
Specialist,Persona 4,Persona,https://youtu.be/4iPABiSH0Zg
Theater,Persona 4,Persona,https://youtu.be/UXz8jIQwjSw
Heartbeat Heartbreak,Persona 4,Persona,https://youtu.be/YzS9fxRFuNQ
Youthful Lunch,Persona 4,Persona,https://youtu.be/EP3vqnS5xok
Game,Persona 4,Persona,https://youtu.be/akivPzH__0Y
ZONE TIME,Persona 4,Persona,https://youtu.be/Bf52sLM8LBY
A New World Fool,Persona 4,Persona,https://youtu.be/wbuMkOryqY8
The Fog,Persona 4,Persona,https://youtu.be/GpVOjYty8kk
Period (Results),Persona 4,Persona,https://youtu.be/DzkklgSJf8o
Junes Theme,Persona 4,Persona,https://youtu.be/MJaLQhEObXY
How Much?,Persona 4,Persona,https://youtu.be/IW_rLGIK54I
Heaven,Persona 4,Persona,https://youtu.be/zQ7H4tZa8-k
Long Way,Persona 4,Persona,https://youtu.be/IOgWP625RRE
The Almighty,Persona 4,Persona,https://youtu.be/IVDreEfA7EU
Never More,Persona 4,Persona,https://youtu.be/nTWSOBUNiPk
Time To Make History,Persona 4 Golden,Persona,https://youtu.be/D8AGET-XQOA
Let's Hit the Beach,Persona 4 Golden,Persona,https://youtu.be/B2oMapyBsE4
A Sky Full of Stars,Persona 4 Golden,Persona,https://youtu.be/rn0hnyyGteE
SNOWFLAKES,Persona 4 Golden,Persona,https://youtu.be/mxNH6EPIH6o
Best Friends,Persona 4 Arena,Persona,https://youtu.be/sS-TBzUPL4c
Like the Dragon (Chie's Theme),Persona 4 Arena,Persona,https://youtu.be/qXF4OVU7raw
Princess Amagi-ya (Yukiko's Theme),Persona 4 Arena,Persona,https://youtu.be/RfcEnARye88
Seeker of Truth (Naoto's Theme),Persona 4 Arena,Persona,https://youtu.be/xMI0Erz4R4w
Heartful Cry (Aigis's Theme),Persona 4 Arena,Persona,https://youtu.be/LWZQegLTQYw
Missions for the Brilliant Executor (Mitsuru's Theme),Persona 4 Arena,Persona,https://youtu.be/seHdreQtt3A
The Wandering Wolf (Akihiko's Theme),Persona 4 Arena,Persona,https://youtu.be/D-9Lp6VKqRw
